,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_learning_rate,params_momentum,params_n_channels,params_optimizer,params_weight_decay,system_attrs_fixed_params,state
67,67,0.24916115403175354,2021-06-21 23:54:56.972722,2021-06-21 23:54:57.188888,0 days 00:00:00.216166000,71,0.00020735288860928566,0.7952875800958803,6,Adam,7.806697114164476e-06,,PRUNED
68,68,0.18697097897529602,2021-06-21 23:54:57.188888,2021-06-21 23:54:57.427203,0 days 00:00:00.238315000,60,0.00226393392850423,0.9350709223165818,9,Adam,9.342554761102217e-06,,PRUNED
69,69,0.2506772577762604,2021-06-21 23:54:57.427203,2021-06-21 23:54:57.643389,0 days 00:00:00.216186000,76,0.0005575346449224346,0.7494300363889405,5,Adam,6.808942090573521e-05,,PRUNED
70,70,0.19657421112060547,2021-06-21 23:54:57.643389,2021-06-21 23:54:57.859577,0 days 00:00:00.216188000,97,0.0007199714155952581,0.8883398180447795,8,Adam,5.9029834892879215e-06,,PRUNED
71,71,0.28606271743774414,2021-06-21 23:54:57.859577,2021-06-21 23:54:58.075758,0 days 00:00:00.216181000,87,2.306233044759476e-05,0.8135469836200862,7,Adam,2.645227230559197e-05,,PRUNED
72,72,0.19916114211082458,2021-06-21 23:54:58.075758,2021-06-21 23:54:58.276304,0 days 00:00:00.200546000,82,1.271530219202619e-05,0.9162315931017575,7,Adam,3.7942645177560184e-05,,PRUNED
73,73,0.2290818691253662,2021-06-21 23:54:58.276304,2021-06-21 23:54:58.461228,0 days 00:00:00.184924000,93,3.923597483011064e-05,0.9026725373589297,4,Adam,2.5656147561824596e-06,,PRUNED
74,74,0.2041035294532776,2021-06-21 23:54:58.476851,2021-06-21 23:54:58.677397,0 days 00:00:00.200546000,67,0.0001496132231529745,0.8771117513159463,6,Adam,3.014404535368686e-05,,PRUNED
75,75,0.23545080423355103,2021-06-21 23:54:58.677397,2021-06-21 23:54:58.893591,0 days 00:00:00.216194000,64,5.3345243733781914e-05,0.9266836028036609,7,Adam,2.1495046131765756e-05,,PRUNED
76,76,0.23775985836982727,2021-06-21 23:54:58.893591,2021-06-21 23:54:59.109757,0 days 00:00:00.216166000,70,2.137220962418337e-05,0.9927334100135798,8,sgd,1.5676685407584195e-05,,PRUNED
77,77,0.26353245973587036,2021-06-21 23:54:59.109757,2021-06-21 23:54:59.310319,0 days 00:00:00.200562000,89,3.147968776779217e-05,0.7830720119643393,8,Adam,4.431877037563635e-05,,PRUNED
78,78,0.22096161544322968,2021-06-21 23:54:59.310319,2021-06-21 23:54:59.533014,0 days 00:00:00.222695000,97,0.0044543376447118204,0.8630318691569242,7,Adam,3.402465940695218e-06,,PRUNED
79,79,0.21718400716781616,2021-06-21 23:54:59.533014,2021-06-21 23:54:59.764839,0 days 00:00:00.231825000,77,0.0019444268556628177,0.9506955021071796,10,Adam,2.3696650097601522e-05,,PRUNED
80,80,0.28267014026641846,2021-06-21 23:54:59.764839,2021-06-21 23:54:59.996654,0 days 00:00:00.231815000,85,0.0013085362414241625,0.9405504430532498,9,Adam,1.4385289651777178e-05,,PRUNED
81,81,0.22136066854000092,2021-06-21 23:54:59.996654,2021-06-21 23:55:00.318333,0 days 00:00:00.321679000,7,2.944611308977001e-05,0.9689418328058275,10,Adam,3.2448569798760494e-05,,PRUNED
82,82,0.2474149465560913,2021-06-21 23:55:00.318333,2021-06-21 23:55:00.575608,0 days 00:00:00.257275000,14,1.0243629839958454e-05,0.9118053397965122,10,Adam,1.740864715089762e-06,,PRUNED
83,83,0.19182389974594116,2021-06-21 23:55:00.575608,2021-06-21 23:55:00.829604,0 days 00:00:00.253996000,4,0.00341405767822992,0.9862749324488238,10,Adam,2.8563547622007776e-06,,PRUNED
84,84,0.23248156905174255,2021-06-21 23:55:00.829604,2021-06-21 23:55:01.092668,0 days 00:00:00.263064000,14,8.74571038152116e-05,0.963299898305333,9,Adam,1.1184797171312866e-05,,PRUNED
85,85,0.25044721364974976,2021-06-21 23:55:01.092668,2021-06-21 23:55:01.346630,0 days 00:00:00.253962000,74,0.0017314372577442122,0.885546824999091,10,Adam,2.243771443279154e-06,,PRUNED
86,86,0.24227291345596313,2021-06-21 23:55:01.346630,2021-06-21 23:55:02.866119,0 days 00:00:01.519489000,91,1.5122282527479136e-05,0.9996802450931402,7,Adam,3.7665799212369223e-06,,PRUNED
87,87,0.20508581399917603,2021-06-21 23:55:02.866119,2021-06-21 23:55:03.668523,0 days 00:00:00.802404000,21,0.0027712701597616143,0.9016339070683607,6,Adam,1.8335331837367643e-05,,PRUNED
88,88,0.17794112861156464,2021-06-21 23:55:03.668523,2021-06-21 23:55:44.181704,0 days 00:00:40.513181000,2,1.982948419758655e-05,0.9343054401850748,8,Adam,2.4634224812820464e-06,,PRUNED
89,89,0.2412969022989273,2021-06-21 23:55:44.181704,2021-06-21 23:55:44.413554,0 days 00:00:00.231850000,62,0.002469181648799256,0.9201432326605102,9,Adam,5.276279709517238e-06,,PRUNED
90,90,0.1712334007024765,2021-06-21 23:55:44.413554,2021-06-21 23:56:35.042099,0 days 00:00:50.628545000,81,5.9147506858003256e-05,0.9567737886193295,9,sgd,2.964387381551166e-06,,PRUNED
91,91,0.2903909683227539,2021-06-21 23:56:35.042099,2021-06-21 23:56:35.258300,0 days 00:00:00.216201000,58,0.004453451173870114,0.766394199458967,7,sgd,1.9550675597361833e-06,,PRUNED
92,92,0.20330291986465454,2021-06-21 23:56:35.258300,2021-06-21 23:56:35.474486,0 days 00:00:00.216186000,51,0.0031782930083728723,0.7519786593638216,7,sgd,1.3217485717113282e-06,,PRUNED
93,93,0.21321742236614227,2021-06-21 23:56:35.474486,2021-06-21 23:56:35.706284,0 days 00:00:00.231798000,42,0.0008490899140457402,0.8385447535119959,6,sgd,3.5661165299361334e-06,,PRUNED
94,94,0.28156721591949463,2021-06-21 23:56:35.706284,2021-06-21 23:56:35.906839,0 days 00:00:00.200555000,34,0.0004251489351840046,0.8019232938203974,7,sgd,4.317330854024023e-06,,PRUNED
95,95,0.21606260538101196,2021-06-21 23:56:35.906839,2021-06-21 23:56:36.123020,0 days 00:00:00.216181000,10,0.0036143743597304924,0.8737619751930682,6,Adam,1.873170709135773e-06,,PRUNED
96,96,0.2319045215845108,2021-06-21 23:56:36.123020,2021-06-21 23:56:36.323588,0 days 00:00:00.200568000,98,0.004960127300266991,0.7078534156356064,8,sgd,3.13997484861669e-06,,PRUNED
97,97,0.19848406314849854,2021-06-21 23:56:36.339206,2021-06-21 23:56:36.561922,0 days 00:00:00.222716000,70,0.0016382135293793595,0.9064310598760956,7,Adam,2.619878507191555e-06,,PRUNED
98,98,0.208217054605484,2021-06-21 23:56:36.561922,2021-06-21 23:56:36.793737,0 days 00:00:00.231815000,47,0.002071933976989333,0.8499010287538454,10,Adam,7.010127816641108e-06,,PRUNED
